"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
210856880,0.9410760621
211039440,0.9410804661
211222000,0.9410850487
211404560,0.941083618
211587120,0.94108404
211769680,0.9410866447
211952240,0.9410913677
212134800,0.941095533
212317360,0.9410931606
212499920,0.9410945905
212682480,0.9410970718
212865040,0.9411012045
213047600,0.941105411
213230160,0.9411038871
213412720,0.9411047388
213595280,0.9411059274
213777840,0.9411094553
213960400,0.9411153432
214142960,0.9411151653
214325520,0.9411140265
214508080,0.9411157292
214690640,0.941118263
214873200,0.9411222252
215055760,0.9411258739
215238320,0.9411241941
215420880,0.941124471
215603440,0.9411267223
215786000,0.9411307372
215968560,0.9411350599
216151120,0.9411331713
216333680,0.941133971
216516240,0.9411360278
216698800,0.9411389458
216881360,0.9411448238
217063920,0.9411431302
217246480,0.9411425768
217429040,0.9411444326
217611600,0.9411473578
217794160,0.9411523524
217976720,0.9411524135
218159280,0.9411516902
218341840,0.9411525296
218524400,0.9411552992
218706960,0.9411610476
218889520,0.9411605805
219072080,0.9411598067
219254640,0.9411613154
219437200,0.9411631559
219619760,0.9411685587
219802320,0.9411699695
219984880,0.9411679171
220167440,0.9411692577
220350000,0.9411715889
220532560,0.9411758848
220715120,0.9411790555
220897680,0.9411770606
221080240,0.9411775341
221262800,0.9411796654
221445360,0.9411835857
221627920,0.9411882094
221810480,0.941185625
221993040,0.9411859681
222175600,0.9411871988
222358160,0.9411903916
222540720,0.9411965819
222723280,0.9411942311
222905840,0.9411938673
223088400,0.9411952607
223270960,0.9411968517
223453520,0.9412022858
223636080,0.941203692
223818640,0.9412012475
224001200,0.9412023571
224183760,0.9412043907
224366320,0.9412080403
224548880,0.9412127948
224731440,0.941209787
224914000,0.9412097594
225096560,0.9412116154
225279120,0.9412150598
225461680,0.9412205692
225644240,0.9412175621
225826800,0.9412176367
226009360,0.9412188181
226191920,0.9412221557
226374480,0.9412286789
226557040,0.941225317
226739600,0.9412252678
226922160,0.9412267378
227104720,0.9412290946
227287280,0.9412356123
227469840,0.9412328145
227652400,0.9412320019
227834960,0.9412334488
228017520,0.9412373638
228200080,0.9412421306
228382640,0.9412401284
228565200,0.9412408216
228747760,0.9412402181
228930320,0.9412429072
229112880,0.9412501489
229295440,0.941246693
229478000,0.94124612
229660560,0.9412688078
229843120,0.9412500418
230025680,0.9412567549
230208240,0.9412527662
230390800,0.941252687
230573360,0.9412542959
